08035,Colorado,Douglas,1763.0,3549.4,3304.0,3794.8,-1.4,,,,,,,,,,3471.1,2700.7,4392.9,3677.2,3400.3,3954.0,8.1,7.8,8.4,-1.7,2.5,2.4,2.6,-2.2,2.9,2.8,3.1,-2.6,10.7,10.3,11.2,-2.2,19.6,17.6,21.7,-0.9,9.2,-1.3,10.6,9.2,12.1,-1.6,93.4,-0.9,21.0,20.3,21.6,1.0,32.0,89.0,36.0,30.6,41.2,0.3,568.0,169.4,-0.9,4.1,3.7,4.6,-1.8,,,,2.9,1.4,5.2,8.8,4.7,15.0,8.1,6.3,10.2,3.4,2.9,3.8,11379.0,3.8,3.3,4.3,-2.4,235.0,70.1,1427:1,0.0,400.0,116.7,857:1,0.5,3171.0,0.2,,4531.0,1764.0,1346.0,3110.0,54.0,-1.3,,47.0,41.0,50.0,54.0,4808.0,90.8,-0.7,75722.0,85839.0,88.2,86.0,90.5,-1.9,5472.0,191240.0,2.9,-0.5,2.5,1.7,3.3,-1.8,7.8,3.7,11.0,6.0,3.3,194601.0,58227.0,3.3,-1.6,13279.0,89066.0,14.9,13.5,16.4,-1.5,205.0,6.1,0.7,365.0,113.6,-0.6,837.0,50.9,47.5,54.4,-1.5,,,,22.1,13.3,34.6,,,,36.8,27.5,48.3,54.8,50.9,58.7,7.0,1.1,Yes,0.9,10.6,9.9,11.3,9.6,8.8,10.3,1.0,0.7,1.2,0.3,0.2,0.4,-1.4,77.2,76.5,77.9,0.6,,,,73.0,65.9,80.2,83.0,73.1,93.0,74.4,72.3,76.5,74.3,73.1,75.6,120670,115962,125378,97031,44638,149424,112526,100695,124357,106375,80547,132203,104059,93744,114374,117113,114661,119565,12,46,28,92775,79,78,80,10897,9,9,10,342776,26.0,11.9,4660,1.4,1763,0.5,17786,5.2,326,0.1,30763,9.0,280777,81.9,2110,1,1,1,50.1,29367,10.3,-0.72,4,-0.74,1,-0.37,1,-0.18,4,-0.42,1,0.04,49
08037,Colorado,Eagle,246.0,3056.9,2514.4,3599.5,-1.6,,,,,,,,,,3020.3,2194.5,4054.6,3159.1,2431.0,3887.2,12.3,11.9,12.7,-0.6,3.0,2.9,3.1,-1.1,3.4,3.3,3.5,-1.1,12.5,12.1,13.0,-1.1,12.9,9.6,16.4,-2.1,9.1,-1.2,12.0,9.1,15.5,-1.3,97.8,-1.1,22.1,21.2,22.8,1.4,10.0,31.0,32.3,22.8,41.8,0.1,172.0,314.0,-0.1,18.1,15.5,20.7,-0.5,,,,,,,,,,35.5,30.0,40.9,3.6,2.1,5.6,5958.0,12.2,10.6,13.9,0.6,42.0,76.7,1304:1,-0.2,95.0,172.7,579:1,0.3,1140.0,-1.3,,,,987.0,1081.0,52.0,-1.1,,57.0,,31.0,54.0,550.0,74.9,1.3,12620.0,17666.0,71.4,65.5,77.4,-0.6,989.0,36207.0,2.7,-0.6,8.1,5.4,10.8,-1.1,,7.3,,17.8,0.2,149791.0,42610.0,3.5,-1.3,2600.0,11997.0,21.7,14.9,28.4,-0.7,43.0,7.9,0.4,77.0,144.3,-0.4,133.0,49.2,40.8,57.6,-1.6,,,,,,,,,,33.5,22.0,48.7,56.4,45.5,67.3,4.2,-1.0,Yes,0.9,18.2,15.2,21.2,14.0,11.2,16.9,3.6,2.2,5.0,1.6,0.4,2.7,0.5,73.5,70.7,76.3,0.1,,,,,,,,,,79.1,73.6,84.7,73.1,69.5,76.7,86896,78796,94996,,,,54535,46790,62280,57782,11195,104369,61194,54771,67617,95726,87511,103941,37,77,24,12531,71,68,73,2653,15,12,18,54993,21.8,11.6,546,1.0,750,1.4,722,1.3,54,0.1,16401,29.8,36749,66.8,3473,7,6,8,47.0,10431,20.0,-0.82,1,-0.34,7,-0.25,4,-0.10,12,-0.20,14,0.01,35
08039,Colorado,Elbert,221.0,5547.1,4313.9,6780.4,-0.6,,,,,,,,,,,,,,,,10.8,10.4,11.2,-1.0,3.0,2.8,3.1,-1.1,3.4,3.2,3.6,-1.2,12.7,12.2,13.3,-1.0,28.0,23.4,32.9,0.6,8.7,-0.8,18.7,14.9,22.8,-0.1,56.3,1.0,19.4,18.6,20.3,0.4,6.0,15.0,40.0,26.2,52.8,0.6,39.0,152.1,-1.0,7.2,5.2,9.8,-1.5,,,,,,,,,,,,,,,,1687.0,7.8,6.7,8.9,-1.0,4.0,15.6,6411:1,1.6,31.0,118.0,848:1,0.5,2563.0,-0.2,,,,,,41.0,0.0,,,40.0,43.0,41.0,215.0,87.0,-0.3,3573.0,4825.0,74.1,66.5,81.6,-0.8,425.0,14963.0,2.8,-0.5,7.2,4.7,9.7,-1.2,,,,8.1,4.9,174774.0,44263.0,3.9,-0.6,804.0,5472.0,14.7,10.1,19.3,-1.6,12.0,4.7,1.0,1.0,4.3,-1.4,76.0,60.3,47.5,75.4,-1.2,,,,,,,,,,,,,,,,6.2,0.5,Yes,0.9,13.5,10.9,16.2,11.1,8.5,13.8,2.0,0.9,3.0,0.8,0.1,1.4,-0.6,80.2,77.2,83.2,1.0,,,,,,,,,,,,,,,,98247,90669,105825,43634,0,88231,175521,60293,290749,190952,32113,349791,49612,0,100881,96761,90935,102587,21,,17,8116,90,88,91,929,10,8,13,26282,21.8,16.4,331,1.3,222,0.8,296,1.1,52,0.2,1892,7.2,23187,88.2,32,0,0,1,49.5,23086,100.0,-0.30,13,-0.43,4,-0.11,17,-0.01,32,-0.29,7,0.07,57
08041,Colorado,El Paso,7379.0,7452.8,7224.4,7681.2,0.2,11509.4,8542.5,15173.6,4342.4,3424.1,5260.7,9446.2,8515.1,10377.4,7368.2,6826.6,7909.7,7344.7,7070.7,7618.7,12.6,12.3,12.9,-0.5,3.1,3.0,3.2,-0.8,3.8,3.7,3.9,0.2,14.3,13.9,14.6,0.0,22.3,20.8,23.8,-0.4,7.7,0.3,16.4,15.2,17.6,-0.5,88.4,-0.6,16.6,16.1,17.1,-0.7,124.0,307.0,40.4,37.7,43.1,0.6,3748.0,536.0,1.2,21.7,21.0,22.4,-0.1,19.7,12.8,28.8,12.5,9.8,15.8,28.3,25.5,31.1,39.3,37.2,41.4,15.5,14.7,16.2,45223.0,7.6,6.9,8.3,-1.1,419.0,59.9,1669:1,0.3,2284.0,320.0,313:1,-0.4,2906.0,0.0,1009.0,1844.0,4271.0,2634.0,2854.0,46.0,-0.5,41.0,43.0,32.0,41.0,47.0,9703.0,76.6,1.0,145204.0,193749.0,74.9,73.4,76.5,-0.9,13268.0,337084.0,3.9,0.6,13.2,10.7,15.7,-0.5,19.3,8.8,17.8,24.3,10.2,123474.0,29585.0,4.2,-0.2,45727.0,167640.0,27.3,25.8,28.8,0.1,602.0,8.6,0.3,2696.5,399.6,1.5,3094.0,90.0,86.8,93.1,-0.2,133.1,93.2,184.3,44.3,33.4,57.5,74.2,63.6,84.8,70.0,63.2,76.9,97.4,93.5,101.3,6.1,0.5,Yes,0.9,16.0,15.3,16.7,13.7,13.0,14.3,2.5,2.2,2.8,0.8,0.6,1.0,0.0,77.4,76.6,78.2,0.6,69.1,62.8,75.4,73.9,70.4,77.3,78.4,76.0,80.7,74.0,71.7,76.2,78.6,77.9,79.3,67923,65322,70524,53676,42424,64928,65215,54436,75994,52406,49403,55409,52116,48942,55290,69640,68460,70820,38,39,30,161564,64,63,64,34598,14,13,15,713856,24.1,12.8,43321,6.1,9748,1.4,22363,3.1,2809,0.4,124622,17.5,491494,68.9,9985,2,,,49.5,55595,8.9,0.10,44,-0.12,28,-0.01,29,-0.07,16,0.07,39,0.04,51
08043,Colorado,Fremont,758.0,7921.1,6913.9,8928.3,0.4,,,,,,,,,,,,,,,,16.1,15.5,16.7,0.4,3.7,3.6,3.9,0.5,3.8,3.7,4.0,0.3,15.6,15.0,16.2,0.8,27.3,23.4,31.2,0.4,7.2,0.8,20.8,17.5,24.8,0.3,64.9,0.6,18.3,17.6,19.1,0.0,13.0,44.0,29.5,21.7,37.6,-0.1,94.0,197.6,-0.7,30.7,26.7,34.7,0.7,,,,,,,,,,35.9,25.3,49.5,30.4,26.0,34.8,2653.0,9.1,7.8,10.4,-0.6,22.0,46.3,2162:1,0.7,153.0,318.6,314:1,-0.4,2658.0,-0.1,,,,1958.0,2626.0,44.0,-0.3,42.0,,27.0,37.0,44.0,354.0,86.4,-0.2,5215.0,12944.0,40.3,36.0,44.6,1.7,798.0,15342.0,5.2,1.9,22.1,15.7,28.5,0.5,61.7,,,37.4,18.1,90385.0,20169.0,4.5,0.3,2389.0,7607.0,31.4,25.2,37.6,0.6,45.0,9.5,0.1,105.0,225.3,0.2,255.0,108.0,94.7,121.2,0.4,,,,,,,,,,63.9,39.1,98.8,121.6,105.9,137.3,5.0,-0.4,Yes,0.9,14.7,12.5,16.8,13.1,10.9,15.3,1.6,0.7,2.5,0.9,0.3,1.5,-0.4,80.7,76.7,84.7,1.1,,,,,,,,,,75.2,55.2,95.3,80.6,77.5,83.7,47885,43063,52707,26875,5121,48629,,,,,,,37886,32322,43450,47124,44604,49644,57,,18,12876,75,73,77,2097,13,11,15,48021,16.3,21.7,1824,3.8,872,1.8,467,1.0,34,0.1,6501,13.5,37854,78.8,722,2,1,2,42.3,12371,26.4,0.20,47,0.06,43,0.12,47,-0.01,28,0.35,55,0.02,42
08045,Colorado,Garfield,520.0,5862.2,5142.8,6581.5,-0.5,,,,,,,,,,4026.6,3007.2,5280.3,6586.3,5599.2,7573.4,13.2,12.7,13.6,-0.4,3.2,3.1,3.4,-0.6,3.4,3.3,3.6,-1.1,13.8,13.3,14.3,-0.3,23.4,19.1,27.7,-0.2,8.7,-0.8,14.1,11.3,17.4,-1.0,93.9,-0.9,20.8,20.0,21.5,0.9,19.0,53.0,35.8,28.8,42.8,0.3,191.0,323.1,0.0,30.8,27.8,33.9,0.8,,,,,,,,,,48.6,42.5,54.7,18.8,15.7,22.0,7048.0,13.8,12.2,15.5,1.1,52.0,88.0,1137:1,-0.5,137.0,229.2,436:1,0.0,2290.0,-0.4,,,,,,44.0,-0.3,,47.0,,27.0,45.0,840.0,83.7,0.1,8983.0,16351.0,54.9,50.5,59.4,0.6,1043.0,32479.0,3.2,-0.1,11.4,7.6,15.2,-0.7,45.4,,76.8,10.0,7.8,122304.0,33831.0,3.6,-1.1,2879.0,14935.0,19.3,14.7,23.8,-1.0,57.0,9.6,0.1,110.0,189.0,0.0,215.0,73.3,63.5,83.1,-0.8,,,,,,,,,,42.1,29.3,58.6,88.1,75.2,100.9,5.1,-0.3,Yes,0.9,21.5,18.4,24.5,16.7,14.0,19.5,5.7,4.1,7.3,0.9,0.3,1.5,1.3,72.4,69.9,75.0,-0.1,,,,,,,,,,69.1,61.5,76.6,74.9,72.3,77.5,74421,68423,80419,60887,30947,90827,108125,45031,171219,46042,2716,89368,58422,52082,64762,78660,74313,83007,47,74,33,14136,67,65,69,2640,13,11,15,59770,25.2,13.1,365,0.6,1013,1.7,557,0.9,109,0.2,17184,28.8,40595,67.9,2765,5,4,6,48.9,13592,24.1,-0.23,19,-0.28,11,-0.04,25,0.00,35,-0.10,26,0.05,53
08047,Colorado,Gilpin,,,,,0.0,,,,,,,,,,,,,,,,10.5,10.0,10.9,-1.1,2.9,2.8,3.1,-1.3,3.4,3.2,3.5,-1.3,12.7,12.2,13.3,-1.0,27.0,19.9,35.9,0.4,9.1,-1.2,19.3,12.7,27.3,0.0,81.7,-0.3,19.8,18.9,20.7,0.6,1.0,7.0,14.3,0.9,38.6,-1.1,,,0.0,,,,0.0,,,,,,,,,,,,,,,,219.0,4.3,3.5,5.2,-2.2,2.0,33.3,3007:1,1.1,4.0,65.3,1530:1,0.8,,0.0,,,,,,46.0,-0.5,,,,,,27.0,81.5,0.4,1235.0,1609.0,76.8,63.3,90.3,-1.0,95.0,3731.0,2.5,-0.8,10.1,6.5,13.7,-0.9,,,,32.4,5.4,144395.0,44336.0,3.3,-1.8,128.0,870.0,14.7,1.6,27.8,-1.6,3.0,5.0,0.9,15.5,286.2,0.7,16.0,53.8,30.7,87.4,-1.4,,,,,,,,,,,,,,,,4.6,-0.7,No,-1.1,23.5,14.8,32.2,17.1,9.6,24.5,1.4,0.0,3.4,5.4,0.0,10.7,1.8,73.5,67.5,79.5,0.1,,,,,,,,,,56.3,38.1,74.4,63.0,57.2,68.9,72949,63769,82129,,,,,,,,,,71806,23822,119790,75771,67087,84455,35,,,2147,81,77,85,414,16,8,23,6121,15.6,16.9,61,1.0,82,1.3,97,1.6,15,0.2,447,7.3,5346,87.3,13,0,0,2,47.5,5441,100.0,0.00,27,-0.06,36,-0.12,16,-0.05,20,-0.25,9,0.02,39
08049,Colorado,Grand,125.0,5326.0,3813.2,6838.8,-0.7,,,,,,,,,,,,,,,,11.8,11.4,12.4,-0.7,3.3,3.1,3.4,-0.5,3.6,3.4,3.8,-0.3,14.2,13.5,14.8,-0.1,18.3,13.5,24.2,-1.1,8.5,-0.6,14.2,9.8,19.4,-0.9,74.7,0.1,19.3,18.5,20.2,0.4,8.0,15.0,53.3,41.1,63.7,1.4,23.0,150.1,-1.0,15.3,10.8,21.0,-0.7,,,,,,,,,,,,,,,,1347.0,10.6,9.0,12.3,0.0,12.0,78.3,1277:1,-0.2,29.0,186.8,535:1,0.2,1627.0,-0.9,,,,9677.0,1527.0,46.0,-0.5,,,,24.0,46.0,131.0,84.7,0.0,2633.0,4109.0,64.1,54.2,74.0,0.0,266.0,9917.0,2.7,-0.7,11.7,7.6,15.8,-0.7,,,,43.4,9.9,109611.0,29990.0,3.7,-1.1,678.0,2636.0,25.7,12.8,38.7,-0.1,23.0,15.0,-0.8,10.5,80.8,-0.8,62.0,82.7,63.4,106.0,-0.4,,,,,,,,,,,,,,,,4.1,-1.0,No,-1.1,15.4,12.3,18.5,11.0,7.6,14.5,3.5,1.6,5.4,1.0,0.2,1.9,-0.2,66.5,60.5,72.4,-0.9,,,,,,,,,,,,,,,,69214,62929,75499,,,,33750,7975,59525,,,,53920,40090,67750,71431,66149,76713,29,27,20,4009,69,65,73,651,12,8,15,15525,16.8,17.6,136,0.9,142,0.9,134,0.9,28,0.2,1405,9.0,13525,87.1,168,1,0,2,46.4,12260,82.6,-0.34,10,-0.03,37,-0.09,18,-0.06,19,-0.20,13,-0.07,4
08051,Colorado,Gunnison,117.0,4523.0,3224.5,5821.5,-1.0,,,,,,,,,,,,,,,,13.1,12.6,13.7,-0.4,3.5,3.3,3.7,0.0,3.8,3.6,4.0,0.2,15.0,14.3,15.6,0.4,16.6,12.0,22.4,-1.4,8.0,0.0,14.5,10.0,19.4,-0.9,90.9,-0.8,21.6,20.5,22.8,1.3,4.0,21.0,19.0,8.4,31.9,-0.8,72.0,425.1,0.6,9.3,6.5,12.8,-1.3,,,,,,,,,,26.6,14.2,45.5,6.9,4.4,10.4,1446.0,10.5,8.7,12.3,-0.1,14.0,82.6,1210:1,-0.4,39.0,226.1,442:1,0.0,2620.0,-0.2,,,,,,44.0,-0.3,,,,32.0,45.0,149.0,96.0,-1.4,3632.0,4501.0,80.7,71.4,90.0,-1.3,285.0,11012.0,2.6,-0.8,10.4,6.8,14.0,-0.8,,,,25.0,1.0,107108.0,25106.0,4.3,0.0,865.0,2898.0,29.8,20.8,38.9,0.4,26.0,15.3,-0.9,28.5,179.1,-0.1,66.0,80.1,62.0,101.9,-0.5,,,,,,,,,,,,,,,,4.2,-1.0,Yes,0.9,20.5,16.2,24.7,15.3,11.2,19.4,3.5,1.6,5.4,3.2,1.3,5.0,1.1,58.0,51.7,64.4,-2.2,,,,,,,,,,,,,,,,61268,54796,67740,56481,23393,89569,,,,,,,43402,29540,57264,60041,51749,68333,24,,14,4058,61,58,64,1065,17,12,21,17246,17.0,13.0,111,0.6,445,2.6,139,0.8,4,0.0,1613,9.4,15026,87.1,71,0,0,1,46.1,8981,58.6,-0.51,6,0.01,40,-0.06,22,-0.04,23,-0.30,6,-0.03,17
08053,Colorado,Hinsdale,,,,,,,,,,,,,,,,,,,,,12.1,11.6,12.7,,3.3,3.1,3.5,,3.7,3.5,3.9,,12.9,12.4,13.5,,24.4,15.5,35.1,,8.2,,24.5,15.2,35.9,,41.6,,16.4,15.7,17.2,,1.0,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,10.5,8.9,12.2,,0.0,0.0,794:0,,2.0,246.6,406:1,,,,,,,,,20.0,,,,,,,10.0,100.0,,97.0,133.0,72.9,47.6,98.2,,12.0,459.0,2.6,,17.0,10.9,23.1,,,,,,,106000.0,24400.0,4.3,,40.0,132.0,30.3,8.9,51.7,,0.0,0.0,,2.0,254.6,,,,,,,,,,,,,,,,,,,,,,3.8,,No,,18.8,11.5,26.0,14.5,3.4,25.6,3.0,0.0,9.0,1.0,0.0,5.2,,71.2,62.6,79.9,,,,,,,,,,,,,,,,,62149,54016,70282,,,,,,,,,,,,,,,,38,,,277,72,63,80,34,9,0,22,811,15.5,30.3,5,0.6,11,1.4,6,0.7,0,0.0,49,6.0,722,89.0,0,0,0,7,48.5,843,100.0,,NR,,NR,,NR,,NR,,NR,,NR
08055,Colorado,Huerfano,138.0,12091.6,8550.5,15632.7,2.2,,,,,,,,,,,,,,,,17.3,16.8,17.9,0.7,3.8,3.6,3.9,0.6,3.8,3.7,4.0,0.3,13.2,12.7,13.7,-0.7,26.6,20.0,33.6,0.3,7.6,0.4,21.4,15.3,28.1,0.4,75.4,0.0,13.8,13.3,14.4,-1.7,3.0,16.0,18.8,6.8,33.7,-0.8,34.0,510.4,1.1,30.0,20.4,42.6,0.7,,,,,,,,,,40.7,24.1,64.4,21.2,11.0,37.1,354.0,7.9,6.5,9.4,-1.0,7.0,105.1,952:1,-1.0,10.0,145.2,689:1,0.4,2630.0,-0.2,,,,2268.0,2590.0,27.0,1.4,,,,25.0,28.0,53.0,86.8,-0.2,704.0,1158.0,60.8,45.9,75.6,0.2,171.0,2619.0,6.5,3.0,37.4,25.2,49.6,2.3,,,,25.4,24.7,78564.0,16514.0,4.8,0.8,389.0,1041.0,37.4,21.6,53.2,1.4,6.0,9.0,0.2,25.0,409.1,1.6,58.0,174.8,132.7,226.0,2.7,,,,,,,,,,203.0,128.7,304.6,163.6,113.3,228.6,4.4,-0.8,Yes,0.9,16.3,11.5,21.0,14.0,9.1,18.8,1.7,0.1,3.3,0.8,0.0,1.8,0.0,69.6,60.8,78.4,-0.5,,,,,,,,,,,,,,,,38242,33227,43257,36028,24067,47989,,,,,,,29453,18284,40622,40463,34221,46705,71,,8,2352,72,67,77,326,11,6,15,6889,16.3,31.2,54,0.8,358,5.2,66,1.0,19,0.3,2339,34.0,4245,61.6,63,1,0,3,49.0,3768,56.1,1.08,59,0.17,45,-0.06,24,-0.04,24,0.64,60,-0.01,24
08057,Colorado,Jackson,,,,,,,,,,,,,,,,,,,,,14.0,13.4,14.6,,3.5,3.3,3.7,,3.8,3.6,4.0,,14.5,13.9,15.1,,28.0,19.1,38.7,,8.3,,23.2,15.2,32.6,,87.2,,17.3,16.5,18.0,,3.0,5.0,60.0,38.1,75.1,,,,,,,,,,,,,,,,,,,,,,,,146.0,13.6,11.5,15.8,,2.0,144.4,693:1,,6.0,428.9,233:1,,5245.0,,,,,,,40.0,,,,,,,10.0,100.0,,146.0,239.0,61.1,43.3,78.9,,27.0,1029.0,2.6,,20.0,13.0,27.0,,,,,38.3,32.9,89875.0,22283.0,4.0,,27.0,247.0,10.9,0.5,21.4,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.4,,No,,10.6,4.7,16.4,11.4,3.2,19.6,0.0,0.0,4.3,0.0,0.0,3.0,,60.9,47.5,74.3,,,,,,,,,,,,,,,,,51457,44713,58201,,,,,,,,,,51250,29417,73083,48828,38478,59178,55,,,410,71,63,80,60,12,1,24,1399,17.1,22.2,1,0.1,37,2.6,10,0.7,0,0.0,176,12.6,1185,84.7,21,2,0,7,48.2,1394,100.0,,NR,,NR,,NR,,NR,,NR,,NR
08059,Colorado,Jefferson,5449.0,5396.6,5174.0,5619.2,-0.7,7527.2,4871.2,11111.7,2838.1,2036.6,3850.2,10352.9,8055.2,13102.3,5860.8,5309.9,6411.7,5314.1,5060.1,5568.2,9.3,9.1,9.6,-1.3,2.7,2.6,2.8,-1.7,3.4,3.3,3.6,-1.0,12.3,11.9,12.7,-1.2,20.6,19.1,22.1,-0.7,8.6,-0.7,13.9,12.8,15.2,-1.0,99.2,-1.2,22.1,21.6,22.7,1.5,85.0,224.0,37.9,34.7,41.2,0.4,1201.0,209.0,-0.7,11.6,11.0,12.3,-1.1,25.7,16.1,39.0,2.9,1.6,5.0,15.5,10.5,22.0,24.1,22.1,26.0,7.7,7.1,8.3,32317.0,6.8,6.2,7.3,-1.4,491.0,85.4,1170:1,-0.5,1786.0,307.8,325:1,-0.4,2427.0,-0.3,,580.0,2884.0,3007.0,2394.0,51.0,-1.0,32.0,51.0,36.0,43.0,52.0,6497.0,85.3,-0.1,121156.0,157065.0,77.1,75.5,78.7,-1.0,10118.0,334242.0,3.0,-0.3,8.0,5.9,10.1,-1.1,19.5,7.7,13.4,18.0,5.4,146294.0,36676.0,4.0,-0.5,28047.0,114633.0,24.5,23.0,25.9,-0.3,446.0,7.8,0.4,1433.5,253.6,0.4,2201.0,77.2,74.0,80.4,-0.6,68.0,35.1,118.8,21.7,13.2,33.5,60.8,39.0,90.5,56.4,49.3,63.4,83.7,79.9,87.4,8.4,2.2,Yes,0.9,14.0,13.5,14.6,12.6,12.0,13.1,1.3,1.1,1.5,0.9,0.7,1.0,-0.5,78.1,77.5,78.8,0.7,75.1,66.6,83.6,73.3,69.3,77.3,74.3,68.2,80.4,76.4,74.6,78.1,77.6,76.9,78.4,85550,82445,88655,64659,41489,87829,75392,68667,82117,49220,42994,55446,58316,54886,61746,83187,81934,84440,32,57,25,162035,70,70,71,29478,13,12,14,580233,19.7,16.5,6637,1.1,6944,1.2,17749,3.1,678,0.1,89889,15.5,452555,78.0,8090,1,1,2,50.1,36864,6.9,-0.33,12,-0.49,2,-0.20,8,-0.16,7,-0.18,16,0.09,58
08061,Colorado,Kiowa,,,,,0.0,,,,,,,,,,,,,,,,13.5,12.9,14.1,-0.3,3.6,3.4,3.7,0.2,3.9,3.8,4.1,0.6,14.4,13.8,15.1,0.1,30.1,20.8,41.5,0.9,4.7,3.0,30.9,21.5,41.7,2.2,58.5,0.9,16.6,15.8,17.4,-0.7,1.0,3.0,33.3,4.1,63.6,0.1,,,0.0,,,,0.0,,,,,,,,,,,,,,,,117.0,11.3,9.5,13.0,0.2,0.0,0.0,1376:0,2.1,,,,0.0,3055.0,0.2,,,,,,31.0,1.0,,,,,,11.0,100.0,-1.9,184.0,284.0,64.8,50.7,78.8,-0.1,17.0,963.0,1.8,-1.6,19.2,12.8,25.6,0.2,,,,,,79462.0,21969.0,3.6,-1.1,124.0,417.0,29.7,16.6,42.8,0.4,3.0,21.8,-1.9,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,5.8,0.2,Yes,0.9,10.3,5.1,15.6,8.4,1.3,15.5,2.4,0.0,7.3,1.4,0.0,3.7,-1.4,80.7,73.6,87.8,1.1,,,,,,,,,,,,,,,,44704,39013,50395,,,,,,,,,,47500,34999,60001,39957,34973,44941,48,,,443,75,69,80,53,10,0,19,1383,22.3,23.4,6,0.4,12,0.9,3,0.2,5,0.4,123,8.9,1229,88.9,6,0,0,5,51.3,1398,100.0,0.00,27,0.19,46,0.15,48,0.18,56,-0.31,5,0.01,36
08063,Colorado,Kit Carson,83.0,6570.6,4602.0,9096.5,-0.2,,,,,,,,,,,,,,,,14.3,13.8,14.9,0.0,3.6,3.4,3.7,0.2,3.8,3.6,4.0,0.3,14.1,13.5,14.7,-0.1,31.1,24.5,37.6,1.1,8.4,-0.4,20.7,15.8,26.3,0.3,27.9,2.5,17.7,17.0,18.5,-0.2,1.0,16.0,6.3,0.3,21.4,-1.6,13.0,181.6,-0.8,31.5,23.3,41.6,0.8,,,,,,,,,,59.1,38.2,87.2,22.0,14.1,32.8,848.0,14.9,12.9,16.9,1.5,4.0,55.9,1790:1,0.4,6.0,83.8,1194:1,0.7,4352.0,1.1,,,,,,35.0,0.6,,,,25.0,36.0,92.0,89.1,-0.5,950.0,2021.0,47.0,39.0,55.0,1.2,91.0,4487.0,2.0,-1.3,20.1,13.4,26.8,0.3,,,,29.2,8.1,88574.0,25425.0,3.5,-1.4,592.0,1791.0,33.1,20.0,46.1,0.8,11.0,15.4,-0.9,15.5,206.3,0.1,39.0,101.7,72.3,139.0,0.2,,,,,,,,,,,,,,,,6.1,0.5,Yes,0.9,10.8,7.3,14.2,10.0,6.4,13.6,0.8,0.0,1.8,1.2,0.0,2.7,-1.3,72.5,67.1,77.9,-0.1,,,,,,,,,,62.8,45.0,80.6,76.1,69.4,82.8,48342,43648,53036,,,,,,,,,,44375,32826,55924,52972,48219,57725,61,,13,2049,69,65,72,276,10,6,14,7163,25.4,19.3,46,0.6,83,1.2,47,0.7,15,0.2,1360,19.0,5578,77.9,284,4,2,6,50.0,4027,48.7,-0.08,26,-0.09,34,0.02,33,0.21,58,-0.10,25,-0.01,25
